Name,Organization,Project
Hongyuan Ma,PostgreSQL,"""Develop Performance Farm Database and Website"" proposal for Google Summer of Code 2018"
Abhinav Saxena,The Honeynet Project,#15 - CONPOT: Protocols Wave #2
Ulrich Fourier,The Honeynet Project,#9 - DRAKVUF: Support for Dynamic Malware Analysis on ARM
Xiangxiu Meng,INCF,2.3 Monitor Sensors signal in 2D and 3D
Megha Sharma,Wikimedia Foundation,"[#1Lib1Ref] Build a ""worklist"" tool for campaigns and in-person editing events"
Yasas Gunarathne,Apache Software Foundation,[AIRAVATA-2717] [GSoC] Resurrect User-Defined Airavata Workflows
Sahil Khokhar,Wikimedia Foundation,[Analytics] Improvements to Wikistats 2.0 front-end
Deshani Geethika,Apache Software Foundation,[COMDEV-254] Allura - Personal Dashboard
mandlebro,radare,[Cutter] Implement Debugging and Emulation support
Tarek Talaat,KDE Community,[digiKam] Project: Supporting Twitter and One Drive services in digikam export
Fabian Löschner,NumFOCUS,[fenics] Maximizing performance on modern architectures with data-level parallelism
Perside Rosalie,Wikimedia Foundation,[GSoC proposal 2018] Emoji Twitter bot for Commons images from NYPL fork
Vinay C K,AerospaceResearch.net,[gsoc18-a-dd6] DirectDemod: Decoding of Automatic Picture Transmission (NOAA)
Guobao LI,Apache Software Foundation,[SYSTEMML-2083] Language and runtime for parameter servers
Ujjwal Agrawal,Wikimedia Foundation,[Wikimedia Commons app] Allow users to browse Commons from app
Nikunj Gupta,STE||AR Group,A C++ Runtime Replacement
Doğukan ÇELİK,Debian Project,A calendar database of social events and conferences
Réka Nikolett Kovács,LLVM Compiler Infrastructure,A checker for dangling string pointers in C++
P SUDEEPAM,GNU Octave,A fast and accurate command line suggestion feature
Yiannis Simillides,NumFOCUS,A FEniCS wrapper in Julia
Gagandeep Bhatia,Haskell.org,A Library for In-Memory Data Analysis in Haskell
Haoming Jiang,R project for statistical computing,A Major Update for HUGE and SAM
Pietro Vertechi,NumFOCUS,A modern tool for data exploration based on JuliaDB and WebIO
Aman Mehta,DBpedia,A Neural QA Model for DBpedia
Chan Jun Shern,The Processing Foundation,A Platform for Algorithmic Composition on p5.js-sound
Sanskar Jethi,FOSSASIA,A Plug and Play adaptation for SUSI.AI
Anton Komissarov,INCF,A PyNN interface to GeNN
Gregory Brownson,R project for statistical computing,A Shiny User Interface to RobStatTM
Davide Magrin,The ns-3 Network Simulator Project,A simulation execution manager for ns-3
Michael Zhou,KDE Community,A Swatches Docker for Krita
Kartikeya Sharma,MetaBrainz Foundation Inc.,A way to associate listens with MBIDs
Ashley Kelly,NumFOCUS,Accessing SPH data and interpolating onto grids
Diogo Cordeiro,GNU Project,ActivityPub plugin for GNU Social
Kevin Masson,appleseedhq,Adaptive image plane sampling proposal
Tushar Mittal,SPDX,Add a License XML Editor to the Online Tools
Yashdeep Thorat,Wikimedia Foundation,Add a spreadsheet interface for modifying multiple pages to the Page Forms extension
Huzaifa Iftikhar,Open Food Facts,Add Continuous Scan and Thorough Product Addition using OCR in Native Android Application
Gabriel Gatu,Beam Community,Add dialyzer task to Elixir
Yashashvi Dave,Zulip,Add different level of user authentications in streams
Sushil Khanchi,Python Software Foundation,Add dry-run functionality to each write command
pronaip,BRL-CAD,Add exec option to search
Akshay Anand,Oppia Foundation,Add Functionality for Skills
Julian Sherollari,The Qt Project,Add GeoJSON interoperability to QtLocation
Fady Essam,Boost C++ Libraries,Add GPU computations to uBLAS
Yihang Wang,Metasploit,Add meta-shell commands for reverse shell session
Qiu Chaofan,Ruby,Add multi-factor authentication to Rubygems.
Rohan Gupta,Cloud Native Computing Foundation (CNCF),Add Network File System (NFS) as a Rook storage backend
Galo Castillo,SPDX,Add New License Submittal Feature to Online Tools
Shlok Srivastava,Ruby,Add security vulnerability notifications in rubygems
Dattatreya Mohapatra,Boost C++ Libraries,Add statistics and machine learning functions to Boost.uBLAS
Alanas Plascinskas,Haskell.org,Add support for deprecating exports
Afonso Pinto,INCF,Add support for Neurodata Without Borders 2.0 to Geppetto
Shobhan Mandal,LibreOffice,Add Support for Python in LOEclipse Plugin
Hagar Shilo,Wikimedia Foundation,Adding 'User' search filters to the existing filter menu
Saurav Chirania,LibreOffice,Adding a DSL to the UI testing and improving the generated log file
Sagar Gupta,Mozilla,Adding and Improving Functionalities in Autowebcompat
Saurabh Chaturvedi,FOSSASIA,"Adding and Improving System Features, Enhancing Organizer Ease-of-Use and Integrating with Social Media and Other Communication Tools"
Valentin D.,Matrix.org,Adding End-To-End Encryption to matrix-python-sdk
Rosalie Wagner,GFOSS - Open Technologies Alliance,Adding Greek glyphs to the open  source font Arima Madurai
Florian Fecher,GFOSS - Open Technologies Alliance,Adding Greek language support to the open source fonts of the typeface Cantarell
synchon,Open Bioinformatics Foundation,Adding methods to cobrapy for improved constraint-based metabolic modelling.
Harsha Sharma,Netfilter project,Adding missing features to nftables
Raghavender Sahdev,Open Source Robotics Foundation,Adding more motion planning libraries to MoveIt
